exchange,symbol,timestamp,local_timestamp,is_snapshot,side,price,amount
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58952.8,0.737
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953,0.006
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953.2,0.998
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953.3,0.02
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953.5,0.099
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953.6,0.282
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953.7,0.002
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58953.9,0.207
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954,2.232
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954.1,0.457
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954.3,0.052
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954.4,0.151
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954.7,0.19
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954.8,0.42
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58954.9,1.293
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955,1.911
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.1,0.051
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.2,0.76
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.4,1.339
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.5,1.182
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.6,0.733
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.7,0.462
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.8,0.011
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58955.9,0.821
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58956,4.176
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58956.1,0.002
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58956.5,0.052
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58956.6,0.163
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58956.8,1.325
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58956.9,0.09
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58957,0.146
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58957.2,0.002
binance-futures,BTCUSDT,1725148800263000,1725148801008613,true,ask,58957.3,1.999
