trade_id,entry_time,exit_time,side,strategy_name,entry_order_type,exit_order_type,entry_price,effective_entry_price,exit_price,effective_exit_price,size_units,position_notional,gross_pnl,entry_fee,exit_fee,total_fees,entry_slippage_cost,exit_slippage_cost,total_slippage_cost,funding,net_pnl,return_pct,exit_reason,duration_bars,maker_fill_status
1,1704068820.0,1704072420.0,sell,CVD Divergence Reversal,taker,taker,65087.389451472474,65054.84575674674,64887.51443878931,64919.9581960087,0.015371645084506122,1000.0,3.0724077562267804,0.5,0.49896327814501007,0.9989632781450101,0.5002501250624827,0.49871392118439034,0.998964046246873,0.0,1.0744804318348975,0.0010744804318348975,Time Exit,60,EXECUTION_MODELED_TAKER
2,1704075600.0,1704075720.0,sell,CVD Divergence Reversal,taker,taker,64961.373575194724,64928.89288840713,65123.77700913271,65156.33889763727,0.01540146390172852,1000.0,-2.501250625312657,0.5,0.5017515007503752,1.0017515007503752,0.500250125062509,0.5015007503751263,1.0017508754376352,0.0,-4.504753001500667,-0.004504753001500667,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
3,1704076500.0,1704076500.0,sell,CVD Divergence Reversal,taker,taker,64912.252465535734,64879.79633930297,65074.53309669957,65107.07036324791,0.015413118665944681,1000.0,-2.501250625312577,0.5,0.5017515007503751,1.001751500750375,0.500250125062448,0.5015007503751081,1.0017508754375561,0.0,-4.504753001500508,-0.004504753001500508,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
4,1704078060.0,1704078300.0,sell,CVD Divergence Reversal,taker,taker,64938.634205608345,64906.16488850555,65100.98079112236,65133.53128151792,0.015406856986817494,1000.0,-2.501250625312591,0.5,0.5017515007503751,1.001751500750375,0.5002501250624285,0.5015007503751521,1.0017508754375806,0.0,-4.504753001500546,-0.0045047530015005464,Stop Loss Hit (stop-first conservative),4,EXECUTION_MODELED_TAKER
5,1704086160.0,1704087000.0,buy,CVD Divergence Reversal,taker,taker,65016.26495347147,65048.7730859482,64853.7242910878,64821.29742894226,0.015373080114496724,1000.0,-2.4987506246876032,0.5,0.4982514992503749,0.9982514992503748,0.4997501249374535,0.4985007496251465,0.9982508745626,0.0,-4.495252998500578,-0.004495252998500578,Stop Loss Hit (stop-first conservative),14,EXECUTION_MODELED_TAKER
6,1704089460.0,1704089760.0,sell,CVD Divergence Reversal,taker,taker,64933.52755949374,64901.060795713995,65095.861378392474,65128.40930908167,0.015408068646946355,1000.0,-2.501250625312631,0.5,0.5017515007503752,1.0017515007503752,0.5002501250625262,0.5015007503751514,1.0017508754376776,0.0,-4.504753001500684,-0.004504753001500684,Stop Loss Hit (stop-first conservative),5,EXECUTION_MODELED_TAKER
7,1704094260.0,1704094380.0,buy,CVD Divergence Reversal,taker,taker,65068.36371795276,65100.89789981173,64905.69280865788,64873.23996225355,0.015360771237579075,1000.0,-2.4987506246876334,0.5,0.4982514992503749,0.9982514992503748,0.499750124937482,0.4985007496251285,0.9982508745626105,0.0,-4.495252998500619,-0.004495252998500619,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
8,1704099540.0,1704099720.0,sell,CVD Divergence Reversal,taker,taker,64968.620581983145,64936.13627169216,65131.0421334381,65163.60765450482,0.01539974592599735,1000.0,-2.501250625312655,0.5,0.5017515007503752,1.0017515007503752,0.5002501250624638,0.5015007503751612,1.001750875437625,0.0,-4.504753001500656,-0.004504753001500656,Stop Loss Hit (stop-first conservative),3,EXECUTION_MODELED_TAKER
9,1704106980.0,1704110040.0,buy,CVD Divergence Reversal,taker,taker,64995.92480574906,65028.42276815193,64833.43499373469,64801.01827623783,0.015377891042588167,1000.0,-2.4987506246876126,0.5,0.49825149925037493,0.9982514992503749,0.4997501249374778,0.49850074962508456,0.9982508745625623,0.0,-4.49525299850055,-0.0044952529985005495,Stop Loss Hit (stop-first conservative),51,EXECUTION_MODELED_TAKER
10,1704116520.0,1704116700.0,buy,CVD Divergence Reversal,taker,taker,65137.17891251089,65169.74750196714,64974.33596522962,64941.84879724701,0.015344543109819708,1000.0,-2.498750624687566,0.5,0.49825149925037493,0.9982514992503749,0.4997501249374239,0.4985007496251155,0.9982508745625394,0.0,-4.49525299850048,-0.00449525299850048,Stop Loss Hit (stop-first conservative),3,EXECUTION_MODELED_TAKER
11,1704124680.0,1704124800.0,buy,CVD Divergence Reversal,taker,taker,64995.168384232704,65027.665968424815,64832.680463272125,64800.26412304049,0.015378070012316995,1000.0,-2.4987506246876108,0.5,0.49825149925037493,0.9982514992503749,0.49975012493745496,0.4985007496251483,0.9982508745626033,0.0,-4.49525299850059,-0.004495252998500589,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
12,1704130680.0,1704132600.0,sell,CVD Divergence Reversal,taker,taker,65022.01821843534,64989.507209326126,65184.57326398142,65217.16555061341,0.015387099286336765,1000.0,-2.5012506253125806,0.5,0.5017515007503752,1.0017515007503752,0.5002501250624714,0.5015007503751585,1.0017508754376299,0.0,-4.504753001500585,-0.0045047530015005855,Stop Loss Hit (stop-first conservative),32,EXECUTION_MODELED_TAKER
13,1704137100.0,1704137580.0,sell,CVD Divergence Reversal,taker,taker,64930.225900819205,64897.7607878688,65092.55146557125,65125.09774130403,0.015408852136958905,1000.0,-2.501250625312561,0.5,0.5017515007503751,1.001751500750375,0.5002501250624674,0.5015007503751644,1.0017508754376316,0.0,-4.504753001500568,-0.004504753001500567,Stop Loss Hit (stop-first conservative),8,EXECUTION_MODELED_TAKER
14,1704138720.0,1704138720.0,buy,CVD Divergence Reversal,taker,taker,65101.26470262504,65133.81533497635,64938.51154086848,64906.04228509805,0.01535300818564221,1000.0,-2.4987506246876454,0.5,0.4982514992503748,0.9982514992503748,0.49975012493750676,0.49850074962516744,0.9982508745626741,0.0,-4.495252998500694,-0.004495252998500694,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
15,1704142560.0,1704142620.0,buy,CVD Divergence Reversal,taker,taker,65056.905875935925,65089.43432887389,64894.26361124609,64861.81647944047,0.015363476581273601,1000.0,-2.498750624687589,0.5,0.49825149925037493,0.9982514992503749,0.49975012493747306,0.49850074962508945,0.9982508745625625,0.0,-4.4952529985005265,-0.004495252998500526,Stop Loss Hit (stop-first conservative),1,EXECUTION_MODELED_TAKER
16,1704142680.0,1704142680.0,sell,CVD Divergence Reversal,taker,taker,64924.31214070458,64891.84998463423,65086.62292105633,65119.16623251686,0.015410255682906103,1000.0,-2.5012506253125717,0.5,0.501751500750375,1.001751500750375,0.5002501250624246,0.50150075037515,1.0017508754375746,0.0,-4.5047530015005215,-0.004504753001500521,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
17,1704143820.0,1704143820.0,sell,CVD Divergence Reversal,taker,taker,64903.13724272523,64870.68567410387,65065.39508583204,65097.92778337495,0.015415283338051661,1000.0,-2.501250625312616,0.5,0.5017515007503751,1.001751500750375,0.5002501250624335,0.5015007503751333,1.0017508754375668,0.0,-4.504753001500558,-0.004504753001500558,Stop Loss Hit (stop-first conservative),0,EXECUTION_MODELED_TAKER
18,1704151560.0,1704152520.0,buy,CVD Divergence Reversal,taker,taker,65027.23448860903,65059.74810585333,64864.66640238751,64832.23406918632,0.015370486808110335,1000.0,-2.4987506246875526,0.5,0.4982514992503749,0.9982514992503748,0.49975012493748816,0.49850074962515734,0.9982508745626455,0.0,-4.495252998500574,-0.004495252998500574,Stop Loss Hit (stop-first conservative),16,EXECUTION_MODELED_TAKER
19,1704160440.0,1704160560.0,buy,CVD Divergence Reversal,taker,taker,65082.28860538932,65114.82974969201,64919.58288387585,64887.12309243392,0.015357484675059447,1000.0,-2.4987506246876063,0.5,0.49825149925037493,0.9982514992503749,0.49975012493745424,0.49850074962515056,0.9982508745626049,0.0,-4.495252998500586,-0.004495252998500586,Stop Loss Hit (stop-first conservative),2,EXECUTION_MODELED_TAKER
20,1704167520.0,1704171120.0,sell,CVD Divergence Reversal,taker,taker,64994.904422850224,64962.4069706388,65022.5056310204,65055.01688383591,0.015393518292078865,1000.0,-0.42487970285110266,0.5,0.5007127961964137,1.0007127961964137,0.500250125062464,0.5004625649139192,1.0007126899763832,0.0,-2.4263051890239,-0.0024263051890239,Time Exit,60,EXECUTION_MODELED_TAKER
21,1704171480.0,1704171660.0,sell,CVD Divergence Reversal,taker,taker,64942.47684902134,64910.00561059683,65104.83304114389,65137.38545766446,0.015405945363787579,1000.0,-2.5012506253125775,0.5,0.5017515007503751,1.001751500750375,0.5002501250624707,0.5015007503751817,1.0017508754376525,0.0,-4.504753001500605,-0.0045047530015006046,Stop Loss Hit (stop-first conservative),3,EXECUTION_MODELED_TAKER
22,1704171780.0,1704172260.0,buy,CVD Divergence Reversal,taker,taker,65023.79835688036,65056.3102560588,64861.23886098817,64828.80824155768,0.015371299049454905,1000.0,-2.4987506246875473,0.5,0.49825149925037493,0.9982514992503749,0.4997501249375318,0.4985007496250963,0.9982508745626281,0.0,-4.4952529985005505,-0.00449525299850055,Stop Loss Hit (stop-first conservative),8,EXECUTION_MODELED_TAKER
23,1704179580.0,1704181380.0,buy,CVD Divergence Reversal,taker,taker,65000.3236947496,65032.823856596966,64837.82288551272,64805.40397406997,0.01537685034568216,1000.0,-2.4987506246876485,0.5,0.49825149925037493,0.9982514992503749,0.49975012493744014,0.498500749625089,0.9982508745625291,0.0,-4.495252998500552,-0.004495252998500552,Stop Loss Hit (stop-first conservative),30,EXECUTION_MODELED_TAKER
